,Reviewer,Review,Ratings,Date
1122,Atul,"For a huge number of Mumbaiites, taking a break means leaving the city. Taj Land End provides a break while you are in the City. Being literally at Lands End, one does not need to venture out of the Hotel at all. A beautiful, lazy weekend can be spent within the Hotel premises with a whole host of activities. Check In on Saturday afternoon. Enjoy the lavish spread over the buffet lunch. Take a dip in the figure 8 pool. Then relax with a vigorous massage at the spa. Night at the Ming Yang with excellent Oriental cuisine over a bottle of choicest wine. Drum away the blues at the Nomad, which is really cool on Saturdays. Wake up to a lazy Sunday. Gorge on the huge breakfast spread. Take another dip in the pool. Go back to the comfort of your inviting bed. Laze away the afternoon at…",4,w Sep 2017
1123,Devendra,Looks jaded and faded. Security & support staff at the entrance seems to recognize only the celebrities and rest are all inconsequential. One can not walk from the main gate and have to take a very poor side entry. Room service not up to mark,3,a review Sep 2017
1124,Sanaya,I was at the hotel for 3 nights and had a good stay except for the long wait during check in. The room wasn't ready in spite of the early arrival request. This happened third time during all my stays. Hope I don't face it again during my next stay. I appreciate the excellent service at the club lounge given by Ganesh and Dhriti during breakfast and high tea. Ganesh took all the effort of getting the Indian breakfast for me. The cocktail hours at the lounge was really excellent and Noshirwang made a great cosmo cocktail for me.   He was really very courteous and took care of minute details. The housekeeping team did an excellent job of keeping the room clean and a big thank you to Mohan and Andrea for keep the small ladies kit for me at the dressing table. That was a pleasant…,4,w Sep 2017
1125,nikhilsahni100,1. Gym instructor doesn't pay attention personally. 2. Phone in the room doesn't work; is quite cumbersome. 3. The corporate agent had by mistake booked a fare without breakfast. Mentioned I am a member but the Taj didn't include breakfast. 4. Had paid breakfast on one day; the service was very slow. 5. Overall customer orientation poor; had to wait nearly 10 min on check out moving from one counter to another.,2,Sep 2017
1126,Aaron,"Very good location. Absolutely stunning view. Not too far from the airport too. Food is also above average, The Chinese restaurant is really good . Take a walk on the bandstand promenade in the evening",4,w Sep 2017
1127,jamitsinght,"I will for sure stay at Taj very time i am in india.I will share and let me friends know about this Taj more , I think the staff was very good and very nice , i real had a good time. Thanks to Taj.Hope i will be back to Taj soon and i am missing it now.",5,Sep 2017
1128,Cassi,"We stayed at the Taj Land's End in October 2016.  The check in was fast and quick. The welcome drink, garland and the tikka had the kids all excited. We were led to our room whiich was facing the sea link with a fantastic view. The buffet breakfast was never ending. With both veg and non veg options. Likewise with lunch and dinner buffets. The spread was really something to watch out for, including the desserts. There was also a kids hour in the afternoon where the kids could have a go at craft. The pool is quite appealing in the warm weather and there is a kids pool too. The spa at Taj is something to experience and leaves you relaxed",5,w Sep 2017
1129,Jigmet,I along with my brother and uncle stayed in this property for 2 nights in the month of April this year . Rooms -Are well maintained  View-ask for the rooms towards the view  Food-homely Must try-try their Cofee  Facilities-amazing  ,5,w Sep 2017
1130,engkoona,"If you are looking for a hotel that is not only beautiful, but with excellent service, then look no further! From the moment we stepped in, the staff made sure we were comfortable and had everything we needed. The breakfast was fantastic as well! There was Indian food for people who loved Indian food and they made sure to add in the usual western style breakfast and healthy corner. This is a great place to stay if you want to stay out of the city and have a great view of the sea..",5,Sep 2017
1131,Trevor,"A very contemporary and luxurious hotel in a perfect location.  The rooms are very nicely furnished and seemed just about perfect for a wary business traveler such as myself.  The concierge was supreme and provided an exceptional driver, Govind, to take me around the city for about 5 hours.  Govind was the perfect tour guide providing important highlights about every place we stopped to visit.  I anxiously await my return visit to the Taj Lands End.",5,iew Sep 2017
1132,428saeedd,"I think Taj Land End Hotel is one of the best hotel to stay if you are on business or holiday since it is centrally located. You are not too far from the airiport, shopping and good eating places. My first choice always.",5,Sep 2017
1133,DJ-RedDevil,"One of the best hotels in the world! The ambience, the choice of cuisine and to top it all, excellent service standards. The staff across all the functions is exceptionally good at their work and make the stay a wonderful memory.",5,Sep 2017
1134,Rajeev,Great hotel property to stay and have business meetings either internal team or external client meetings in Mumbai. Always recommend to my all industry colleagues & friends to prefer Taj Lands End property over other hotels in Mumbai.,5, review Sep 2017
1135,HONEYISH,"Taj Land End is really on the Land End at Bandra and where the Arabian Sea start.. Such a LoveLy 5 Star HoteL with so many Sea Facing Rooms and Suites,So many Restaurent within The Hotel and so many activities Like Social and Business Activities are carried here so that No one Feel at the LoneLy Place.This Hotel is Adjacent To bandra Fort where so many activities are taking Place during the Day..as well as One Can go to touch Arabian Sea at Real Land End. Ofcourse The Taj Legacy is always there so there is no short in the Hospitality Too... OverALL it's a wonderful Hotel even For the Bombayite Too..During the weekend this is the Best HoteL to stay with..",5,Sep 2017
1136,Roger,A good stay with some hiccups with service on this trip.  I have never ever been disappointed with this hotel and I've been staying there for the past 20 years.  Hopefully a one time event which will get rectified.,4,w Sep 2017
1137,Ravi,"A lot of business meetings take place (a bit of a downside) but obviously because this is the most popular Taj Property, overlooking the Arabian Sea, Windy, exudes the Taj Charm. Needs no introduction. Was called The Regent before Taj took over. Expect this hotel to be always buzzing with activity,  restaurants with people enjoying their meal, bar full with people. Busy hotel whenever I have stayed in it. But then Taj Hospitality is what one looks for and this place swells in it. The top floor rooms have the best view.  ",5,w Sep 2017
1138,Ashkinkade,"Stayed here for a few days whilst waiting to move into permanent accommodation. We were greeted like special guests as soon as we walked in with attentive staff and a comfortable place to sit and check in. The Hotel itself is surprisingly large with a grand interior bustling with guests and staff. Clean and spacious, the Taj has some great restaurants. We were generally impressed with the variety of food options however we left feedback for the hotel that they needed to work on the quality of the room service breakfast menu items which wasn't great. However overall a beautiful hotel and we enjoyed the stay",4,Sep 2017
1139,Yogesh,It was business meeting we had here. Halls are very spacious and well maintained. Staff is very cooperative and what should say about view when you come outside its just ossom. Food was also very good!!!,4,w Sep 2017
1140,Clinton,My third stay at the Taj lands end and with every stay the experience keeps getting better.. having grown up in Bandra and spent many an evening at the fort ruins... brings back many memories.. the views across the indian ocean and the new sea-link during the monsoons are quote nostalic.. i'd definitely recommend asking for a sea-link view room..... look forward to my next visit...,4,te a review Sep 2017
1141,Praveen,"It was our first experience with Taj group & it was as expected a very pleasant & comfortable experience.   Courteous reception, good room, good ambience, nice dining experience in room n restaurants.  Excellent experience",5,w Sep 2017
1142,gunartol,Amazing Hotel. I recommend for everyone who will come To Mumbai India. Love this hotel very much. hope i can come again to Mumbai. Thank you so much for all your services. 4 THUMB UP  for all Hotel Staff. This is INCREDIBLE INDIA,4,Sep 2017
1143,AjitVasudevan,Very good location. Courteous staff. Everybody had a smiling face! The view from the rooms are amazing. Food quality is good. Wide variety too. Overall a wonderful experience. Highly recommended. Value for money. ,5,Sep 2017
1144,Kartik,Our stay was very good and thoroughly enjoyed the stay at Taj Lands End. The hospitality staff was very courteous and looked after all our needs during our stay at the hotel. We were on 16th floor and the rooms were very nice and clean.,5,w Sep 2017
1145,tomdop,"Pls check in and ask if you can sleep in the morning or not. Because they start renovate room from 10 am.to 2 pm. So I have bad experience to have that noise ( HAMMER,SCREW) BECAUSE OF come back from work and start sleep at 6 am. So during that time is very bad dream of your life time.",2,Sep 2017
1146,Bala,Taj Lands end still the best hotel giving signature style services in mumbai. Memorable services from most humble and respected FOM Himadri. Excellent atmosphere and well guided hotel staff. This hotel is Land mark in hospitality. Godspeed.,5, a review Sep 2017
1147,Amit,"Taj always the best. With all facilities and great hospitality, maintaining Indian culture and food it's really great to stay there. The staffs are really trained properly to serve the guest and to understand the need of the customers.",5,w Sep 2017
1148,Mo,"The ideal location to reach all parts of this City, while exceeding beyond the norm in Hospitality Overall! Totally would recommend to all, if not regular than a must one off! Delivering on the name Taj!   Thank you all @Taj Lands End, for delivering an awesome experience during my stay.",5,w Aug 2017
1149,Szilvia,"I had a fantastic stay, everyone in the hotel is very friendly. The rooms has great view and they are nice and spacious. The cuisine was amazing in the restaurants with great international and local selection of food .",5,w Aug 2017
1150,Jasmeen,"The Twitter tag of TajHotels — ""Discover the Taj difference"" — is bang on! Taj Hotels pampers guests with state-of-the art facilities, luxurious accommodation, sumptuous cuisine and hospitable management. So, although I'm a Marriott loyalist, I decided to stay in Taj Lands End to experience the difference. Its location in Bandstand — with dramatic sea views, Sea Link and Bandra Fort — makes it ideal for tourists- foodies- shopaholics and business travellers!   The location allows for more space than a city hotel with its mammoth lobby | all-hours restaurant The Vista where I relished the sumptuous Bun Kebab [minced lamb patty in the softest buns] and TLE Farm Salad [shaved carrots, fennel and beetroot served with orange, arugula, figs and flaxseed textured with vinaigrette] |…",5,iew Aug 2017
1151,DjGokarn,"Stayed here for a night again this year. We have stated here several times in the past and the hotel continues to maintain a hight standard of quality. Well equipped, comfortable rooms with a beautiful view. Look forward to coming here again",5,Aug 2017
1152,tanmoyd376,It was a memorable experience. The whole staff was so polite and kind.... the cleanliness was perfect. The room allocated to us had a great view. One should be there at least once to experience a true Taj hospitality.,5,Aug 2017
1153,785jds,I recently stayed at TAJ Lands End Mumbai for three nights and had a memorable stay there.The staff was not  only courteous but supremely efficient.The breakfast spread was excellent and the crowd on weekend spoke about its popularity.The rooms are spacious and my room had an excellent view of the sea from the 15th floor.,5,Aug 2017
1154,shweta,Earlier I visited this property on my birthday in January the stay was a memorable one..i booked club executive room for one night  stay..Amazing sea view made my day..I enjoyed food at Masala bay which serves north Indian cuisine so much that I didn't gave a second thought to visit this restaurant again..Taj is known for its hospitality and service even food plays an important role..Since this is not the platform to write about quality of food but since it was a part of my stay so I would like to share my experience..Visited with 5 friends at this property and since was highly impressed with quality of food we decided to dine at Masala bay..Highly disappointed with the quality of food ..Butter nan was chewy took extra efforts to tear apart..Ordered vegetable palak paneer where…,2,Aug 2017
1155,Avijitsen,"This was the second time I was staying here, although I am from Mumbai we sometimes venture out and live overnight in the hotels in Mumbai. Last visit I was very happy with the hotel and its overall services. But this time I wasn’t very happy with my stay. The first unwanted encounter- on check in the receptionist mentioned that since the room type, I had booked wasn’t ready would I like to be upgraded to the Club rooms for an extra cost. I quietly agreed to pay for the upgrade as I was there to celebrate my wife’s birthday, and I did not want to wait further in the lobby as there was some wedding function in the hotel & all the noisy wedding guests around. Being an ex hotelier I knew quite well that he could have done it for free. This was a Red Flag for me but I chose to keep…",3,Aug 2017
1156,y2kartik1,You will find better speaking courteous cheaters and nothing else. Stay safe if you are at this hotel. Take care of your documents as well. Anything can happen.  Hotel Rooms and other amenities are surely like any other Taj hotel - Great. !!,1,Aug 2017
1157,903peeyushs,Arrival : The check in this time was not only painfully delayed even though there was a couple of people checking in. The hostess was very curt and borderline rude. I have not had such a experience at Lands End ever. I felt it was not in line with Hospitality however I decided to ignore it.  Now I would like to mention few people who make a difference and they must be acknowledged.  1:Mr Amjad Shaik : Mr shaik is a delight to contact. He always responds immediately and his responses cover everything that you write to him. Which I cannot say about the reservation desk they hardly seem to go through your mail and never address the issues that you have mentioned. Mr Shaik had taken time out to make my reservation and stay comfortable at times even when he was on a vacation. I…,4,Aug 2017
1158,Nidhi,"Bandra is not South Bombay but has become quite self sufficient and upmarket . The Hotel is right on the bandstand - Bandra s equivalent of Marine Drive downtown. The Hotel has very helpful staff , 4 restaurants and 2 bars , besides spa and swimming pool. . The spa is good though disproportionately expensive, The rooms are pleasant , well furnished and spacious . The sea view rooms in particular. The Nomad bar has a good bartender who mixes well and the music makes you want to rock",5,w Aug 2017
1159,noel13657,"I am a member of the Taj inner circle and was enjoying the complimentary room night. We checked in on 26th Aug.and were allotted room 1729. This review if more for the attention of the management  and team in charge. 1. Staff and service par excellence.2. Food at Vista and the breakfast great & real lovely. 3. However the room 1729 was freshly renovated and had the following problems , which should have been checked by the team in charge before allotting. a) The sink in the washroom was leaking and water overflowed outside making it fully wet. b) The TV did not work for most of the time as the Airtel signals were not catching and had to call the maintenance twice to set it right. It is not expected of the TAJ HOTELS image . Don't know if the room was allotted to us due to being…",4,Aug 2017
1160,KALYAN,"Indeed a great experience. Worth paying. Food was good, Hospitality was awesome. Co- operative friendly staff. Rooms are very good with all the modern amenities. Sea view from your rooms gives you an extraordinary opportunity to enjoy the place. Nice place with lovely view of sea and cool breeze.  We had lunch buffet at Vista and it was good, We really like the desert's varieties though.  Strongly recommend for family stay. ",5,w Aug 2017
1161,532rishic,Kudos to team Taj Lands End for an absolutely fantastic weekend stay! Look forward to being there again. Every point of contact was well executed right from Guest relations to F&B to Housekeeping. Special thanks to Ms Aarti Bhandari for taking great care of us. Taj is a Taj is a Taj!!,5,Aug 2017
1162,mukul,"I was there for a weekend break with family and had an excellent stay. Staff was warm & hospitable. Room was spacious, warm & cosy with a beautiful view. Bathroom too was spacious with good quality toileteries. Buffet spread at Vista was sumptuous and the ala carte at the Masala Bay was awesome. Really enjoyed our stay",5,w Aug 2017
1163,alghamdis,"Good in everything. Location, management, staff, food, environment,  ... etc. Renovated room is super deluxe  As the hotel is 18 years olds but with their maintenance no one can imagine how it is  Thanks to all",5,Aug 2017
1164,Ravipg71,One of the best hotels in Mumbai to see the Arabian ocean in full view and a mesmerising sunset as the hotel is bang on the Arabian Sea.   Taj hospitality is world class and their restaurant Vista offers full sumptous breakfast with so much variety. ,5,Aug 2017
1165,12rashmis,"Taj Lands end Mumbai is a Superb Taj property located near band stand - the bollywood celebrity hub. The location is great,. the buffet breakfast spread is great as well. Taj lives up to  its reputaion for unparallel personalized servce. Tip - Opt for higher floor rooms with the sea+pool view.",5,Aug 2017
1166,Ajay,A very well situated property with excellent sea/ city view. An awesome set of staff completely focussed on best of service and making your stay comfortable in every respect. Great ambience to lounge in the evenings. Or step out for a walk on the sea front.,5,w Aug 2017
1167,859jayakrishnap,"Impressive Hotel. In my opinion, the Taj group of hotels, resorts and palaces remain one of the best in the world.  They have mastered this feild and I really feel good staying at a Taj hotel.  I wish they grow more worldwide and make the world experience Tajness!",5,Aug 2017
1168,Abhishek,"During a recent business trip, I stayed at Taj Lands End with few more people.  While the property is always good and well maintained, assistant manager Mr. Mayank Kothari's prompt support and assistance made our stay a real good one. He helped us in ensuring smooth check in, gave us very prompt and warm service and ensured that our stay was very well taken care of.  Thanks once again Mayank!",5,e a review Aug 2017
1169,Vikas,"Stayed all over the world in different hotel chains and hotel classes but this hotel stands apart in their customer service & guest relations.  From the chauffeur to the staff, all highly praising the management & most being long time employees & happy being there.   True sign of Excellent World Class Management!  Special thanks to Mr Arjun Kaggallu and his team.  Ms Aarti Bhandari at their Guest Relations is a rare gem in Customer Service!  So guys, stay here and enjoy your stays in Mumbai with this wonderful team and facility!  ",5,w Aug 2017
1170,ReenaKapoorKotian,"Excellent location - just next to the sea with beautiful sea breeze. Staff were warm and courteous, very helpful. Check-in & check-out was hassle free and quick.  Rooms were spacious and well equipped.  Food at the Indian restaurant - Masala Bay was excellent - particularly the non-vegetarian fare. Vista - all day dining has a very good breakfast spread. Enjoyed my short stay and particularly the hospitality of the staff in making it special.",5,Aug 2017
1171,Trishna,"Had been to Vista at Taj Lands End to celebrate my husband's birthday. Really loved the flower arrangements in the lobby area.  Wonderful staff at Vista. They were efficient and polite.  The food was delicious. Tomato soup, tandoori chicken pizza and lamb burger were all mouth-watering.",5,w Aug 2017
1172,Viknesh,We had been to House of nomad for an evening snack and few drinks .. amazing ambience best music .. and the martini they served was amazing... the music played is selective and perfect for the mood. Cheers 👌,5,w Aug 2017
1173,SF,"This is one of the BEST hotels worldwide! At every turn, the customer service is unparalleled from the time you walk into their lobby and receive a welcome garland, to the moment they drop you at the airport in their SUV. Do stay in one of the rooms overlooking the sea and Bandra Band Stand--the view is mesmerizing. While they have many specialty restaurants and shops, Vista restaurant is open 24 hours with a sumptuous buffet (breakfast included in some room rates)! The pool is fabulous and they also have a great gym. But most importantly are the Taj Lands End staff, who do their very best to make your stay exceptional. During my many, many trips to Mumbai, I always stay Taj Lands End and this trip, in particular, I must mention the staff members that went above and beyond to…",5,review Aug 2017
1174,aki076,"The rooms are fabously well maintained. The staff at the hotel, like any other Taj is great. The rooms offer great views especially the ones facing the sea link. The in room dining offered excellent meals.",5,Aug 2017
1175,Kirtan,It was a business trip and the experience was mind blowing. Everything from check in to check out was 100 % as per expectations. Chinese food at restaurant was excellent. Very good in room service. Staff was very courteous. It was a real 5 star experience.,5,w Aug 2017
1176,car0linemarieb,I truly love this place. Not only is it beautiful but the service is second to none.  I mentioned how beautiful the orange roses were in the lobby and the next morning I had a beautiful bouquet of orange roses in my room. I love the gym and pool and wish I could come just for fun sometime!  I highly recommend this hotel,5,Aug 2017
1177,Travel,"We stayed here for one night in one of their suites and had an absolute blast! The location is perfect, you can go to south mumbai or hang around in Bandra! They have great food as well! The pool are is amazing to hang out by and its peaceful and relaxing! would highly recommend this place",4,a review Aug 2017
1178,Ather,An excellent service given by Hotel Representative Mukul Gaikward who took my passport details during my earlier visit to hotel when my son was staying in first week of August. On arrival on 11/08/17 the person on help desk just took my bank details and allowed me to move to my room.He was kind and very helpful. During check out a girl by name Priya finished my work within couple of minutes .Thanks a lot,5,eview Aug 2017
1179,Jayesh,Rooms have a great view and are super cozy. All rooms have very large bathroom and toilet space with tub baths. Service and food is really great. Enjoyed the breakfast at Vista and High tea was excellent. Swimming pool is super located with green all around. Over all very good staycation offer.,5,w Aug 2017
1180,RSingh111,We stayed there for 2 days on our leisure trip to mumbai. The hotel offers a good view of the sea. The hospitality by the staff is great. Good hotel for family stay compared to some of the other hotels which are more corporate customers oriented.Nice pool with jacuzzi. Good variety on breakfast.,5,Aug 2017
1181,gfrodrigues123452017,"The food,the service,the ambience I mean everything were outstanding. Clean and Comfort is guaranteed. This was my first time in Taj Lands End but I'll make sure I will visit this hotel atleast once a year.",4,Aug 2017
1182,Amruta,"We booked a stay cation for our parents for my FIL's Birthday. Starting with the smooth check in the Guest relations officer Renuka was very courteous , upgraded us to an amazing room  with an almost 360 degree sea view ,arranged for a cake and flowers . The staff is very courteous and our parents enjoyed their stay . They left no chance to pamper them . Thanks staff Lands end for an memorable stay. ",5,w Aug 2017
1183,Khalid,"For sure this has been a memorable stay for me and my family, wonderful experiences from the arrival point until the departure. Great food at the Masala Bay as you would be in under the perfect care of Mr Prakash to ensure all is right and should you wish to unwind Jiva Spa is highly recommended. Security levels were constantly kept in check for guests arriving in and as well as for the rest.  Its the services standards that are set that makes it different as each employee knows what and how to interact with the guest at any given point.  Great work.",5,w Aug 2017
1184,Sophiya,"Excellent staff and extremely professional service.  Location of the hotel just cant be any better! every small detail is so well thought of, that when you come back to the hotel after a long day, you can simply unwind. Everyone from Front office to housekeeping to security is helpful and really friendly.  Cant wait to be back soon!",5,w Aug 2017
1185,Traveller-Bangalore,"Though Taj lands end is usual Taj hotel with all amenities.. I am giving 5 star mainly for their hospitality and location . Taking care of room, taking care of personal belongings and arranging them.. Everything is well take care.. Food preparation is OK. Breakfast is usual breakfast..Location is awesome.. All the rooms have sea view.. ",5,Aug 2017
1186,shivangi_mishra,"Visited for first time. Very good property of Taj,,, Amazing view of sea from the hotel. Very warm staff with ready to solve your problem attitude. Room service was also very nice. Would recommend surely to stay at this hotel when in Mumbai",5,Aug 2017
1187,Vivek8759,My room was nice with good amenities and service. I am a medical practitioner and one of my patient's condition deteriorated suddenly and I had to leave the hotel. I requested for return of the advance paid for the same day. Hotel management agreed to it and the advance was paid back to me. it was a pleasant surprise.,5,Aug 2017
1188,Nita,Loved this hotel - spacious and clean.  Staff are hospitable and very welcoming.  Have stayed there twice and both times experienced wonderful service.  I had to check out early and was offered to use spa facilities without charge to freshen up before flight.  Would highly recommend anyone to stay there.,5,w Aug 2017
1189,Joshna,Overwhelmed with their customer service. Each one of their staff are so customer oriented. Been 14 days at your hotel for vacation..i was over pampered by you guys. Their restaurant Masala Bay and Ming Yang...you are the best at food in this area. You are the reason why i took some weight back.😀😀😀😀 Thank you.,5,rote a review Aug 2017
1190,Laura,Me and my partner travelled to Taj Lands End for 1 night in May. I had requested a Bridge view and the room was great. The breakfast was out of this world. The best Indian breakfast buffet ever. Unfortunately they had maintenance work taking place. We arrived after an 18 hour flight and wanted to sleep. Was difficult with all that noise. We weren't informed about the maintenance work when we made the booking!!!,4,w Aug 2017
1191,Khushnum,"From the moment you enter the hotel, the experiences are superlative. The staff are courteous and live up to the reputation of NEVER SAYING NO TO THE CLIENT. They are happy to oblige you, warm and friendly. The hotel is super clean, the food amazing - Chinese like no other at Ming Yang, the amenities are perfect and the ambience warm and inviting.",5,w Aug 2017
1192,Vibha,We had the most wonderful experience during our stay in Mumbai at the Taj Lands End! Staff is extremely courteous and they looked after us well. Rooms were nice and spacious... food was excellent and they had an amazing spread for breakfast. Would definitely love to go back again!,5,w Aug 2017
1193,16nirajk,"great location, service &food wow and class one quality  and warm and caring nature at manegerial level thanks to MR.MAYANK KOTHARI,cver all will give 10 out of 10.....for every thing...keep going all thanks again.",5,Aug 2017
1194,384aseema,Wasn't a great overall stay - was there for 1 night and had a challenge in check-in when I tried converting my single stay into double.   Bed and pillows were ridiculously uncomfortable and I literally slept on the floor for sound sleep as I was meant to be at work next morning.  Food was also average - had checked out from JW Marriot to stay here but was very disappointed.   Only face saver was the terrific sea-view room that made my morning.,2,Aug 2017
1195,Navdeep,"The hotel have placed old LCD TV and not working smoothly, the ambiance of room is very old kind so should wow factor should be there. The food was very goods but the price are at very higher end. Required should be update or improve.",3,w Aug 2017
1196,munafhasan,"Excellent buffet at Vista.Great Salad,nice main course spread,loved the continental spread vegetarian and non vegetarian both were amazing.But very limited starters. Desserts I still preferred at Shamiana Taj Mahal Palace and Jeon Sea Princess compared to Vista.Overall good food,good ambience but PATHETIC service...The Sardar guy at the Dessert counter is hardly present,he disappears whenever he wants to and has an arrogance on his face as if he is doing a favour to the customer.The Used plates are lying on the dining table but they don't clear the table till they are asked to do it,this was the only sore point.I hope after reading my review the management pulls up their socks and does something about the service.I am giving 1 star less because of the atrocious service.",4,Aug 2017
1197,Shyaonti,Taj Lands end has excellent rooms that re well-furnished and blend the personal and professional beautifully creating the perfect ambience. Breakfast can be a little more creative and elaborate. A person is not left with many choices. The view is spectaular,5,review Aug 2017
1198,Ata,From arrival to departure a very fine experience. Excellent breakfast. I took in a buffet at Vista restaurant and found it very good. Lifts are fast and one does not have to wait interminably for these. Courtesies are aplenty and of course the location is superb.  Thanks for a good stay. Will always be back,5,w Aug 2017
1199,817sreekanths,"Have stayed at many hotels around the world . But Landsend is best in location , rooms , amenities, staff experience ( the smiles are lovely ) and food.Its an absolute value for money. Thank you and look forwqrd to another stay.every time i have stayed at another place i have longed for the Landsend experience",5,Aug 2017
1200,jorgeo750,"great service, great selection of restaurants and bars; excellent welcoming attitude when registering and great people making great efforts to make you feel special. Used the business center with a very good service; the Spa was superb and the attention to detail and personnel were a marvelous experience as well. Wonderful location at ocean front",5,Aug 2017
1201,Arvind,"I am at Taj Lands End almost every week and it's my second home in real sense , not because I travel so frequently but because that's how they make me feel when I am there. Parveen Chander is the best GM I have ever come across and the staff at the hotel goes out of the way to make you feel at home under his leadership.   Whether it's the dining (and they have great restaurants in Masala Bay, Ming Yang, Vista, House of Nomad), front office, concierge or housekeeping ....Staff at Taj Land End would ensure that you have an excellent experience and would even remember your preferences if you are a regular visitor.  This hotel would always remain on top of my list of favourite places to stay and my best wishes with Parveen and his team as they continue to enhance the dining and…",5, review Aug 2017
1202,leodb2017,"one of my favourite places in Mumbai as it makes me feel at home. and thanks to its staff, one surely enjoys the best of facilities. a special mention here for Prajakta Parab, of customer care services, who takes care of all one needs to feel absolutely comfortable. i wish her all the best and am sure she will go places with her attitude and commitment to her work.",5,Jul 2017
1203,Soumitra,"I have been staying at the Taj Landsend for probably the last 15 years (from the time it was called “The Regent” before Taj Hotels took over the property) and I must say that the quality of the infrastructure, hospitality and the amenities have never wavered even a wee bit over all these years! All credit to the Taj management and the wonderful staff at the hotel! Conveniently located near the Bandra-Kurla business district and within easy reach of businesses in  south Mumbai connected by the Worli-Bandra sealink, this hotel is most preferred by travelers who visit Mumbai, either for business or leisure. During my stay last week, I was graciously upgraded to a club room on the 25th floor with a breath taking view of the Worli-Bandra Sea link and the south Mumbai skyline. The…",5,w Jul 2017
1204,amey,"It was a great visit really, especially when you visit for your business purpose. I was there for conference. All the arrangement was fantastic. The ambience was so nice that anybody could hardly think of leaving the hotel.",4,w Jul 2017
1205,keshav,"This property gives you the view of banstand. Lobby is huge and rooms are also spacious.Breakfast is also very nice.Must try their spa it is very nice.During my stay of 3 nights i didnt find any issues,Overall excellent.Hospitality at its best.",5,w Jul 2017
1206,130varunr,Feel at home with the Lands End and Taj experience overall. I prefer this hotel every time as they make their best to accommodate and customize the experience for you. Thank you to the front desk to Shivi and Humera. I appreciate their efforts in spite of a very busy time.,5,Jul 2017
1207,793keerthanar,Staying at the Taj Lands End is for me always memorable. What makes this place special is the excellent hotel staff. Everyone of them is always there for you and always puts your experience in the center of their service!,5,Jul 2017
1208,satishpg,"Visited Nomad, This Newest and stylish Bar, is perhaps the best ever I've been to, The bar asthetics and decor is just fit for the location. In fact Bandra was missing this kind of ambience for a long time. Not to forget beautifully crafted drinks. It's ubercool!!   Nomad is my must visit list in Mumbai ",5,Jul 2017
1209,Calabaykid,"Booked a club room for anniversary and pre cruise celebrations.  The room was a little dated but was on a high floor with view and the service and friendly staff made our stay very memorable.  Club lounge food, drinks and service was great, we took breakfast downstairs in the restaurant and the choice and quality of food was excellent.  Would return to this hotel if we revisit Mumbai",4,Jul 2017
1210,Asarpota,Fantastic property with lovely view facing the sea and the team is as friendly as ever. The team as usual very polite and friendly and are at your disposal at any given time despite being busy as Mumbai is a city that never sleeps.  Thanks once again to TAJ LANDS END team for the hospitality.,5,ote a review Jul 2017
1211,690saeedd,"Excellent rooms, professional and efficient staff. a hotel most suitable for family and business traveler. beautiful rooms with every possible amenity. wonderful views from the room. Excellent food in all the restaurants.",5,Jul 2017
1212,girish,Nice Property for Stay... we are happy with this hotel... we will recomend... nice view from 23rd Floor... enjoyed with Family...  many options(  Veg & Non Veg) in breakfast.. nice staff... really memorable sty with family ... thanks TAJ Group and TAJ Land End....,5,w Jul 2017
1213,Samanmalee,"I absolutely love this hotel. Friendly staff , warm and welcoming. Very helpful at check in and check out. The breakfast buffet was really nice. Great location. Very close to the sea. I went for a walk in the evening. I spent 2 - 3 nights.",5,w Jul 2017
1214,rajivmangla,"stayed on 13th july 2017. excellent location, sea and pool facing room. very smooth check in and check out. quality and variety of food is amazing and staff is very coperative.for sure, will love to stay again. 15 minutes drive from BKC  and 15 minutes from Lower Parel",4,Jul 2017
1215,893bipind,"The overall management and services in this hotel are very good. Staff are very friendly, cooperative and supportive. You can feel a warm hospitality as soon as you enter the hotel. The hotel location is also very good and refreshing.",5,Jul 2017
1216,HKM,The stay experience at lands end was the best then any property i have stayed . The staff was really superd & took care of us at every step of our stay . The break fast was something i have never had in any other hotel. The location is something totally mesmerizing . The vie for suite of the Sea LInk makes it the best choice of stay in my recent times.,5,Jul 2017
1217,DAnjaria,"Very pleasant experience. Taj hospitality is always the best and we experienced the same at Taj Lands End during the stay.  The staff are extremely courteous and helpful. The entire stay was fantastic. The rooms are very comfortable, the service is great. They have some activities also for kids. The food was also very nice.  Appreciate the efforts of Francis, Karan and Sagar. They really make customers feel special  Kudos",5,Jul 2017
1218,garryhogan,If you are in cornwall lands end is a must it's good value for money and if you live in the TR post code take a passport photo and prof of address and you get free parking and 50% off all attractions.,5,Jul 2017
1219,navitasrikant,"Always delighted to stay with Taj Group of Hotels. You are always reminded that there is a family always looking after you. Such warmth and care are exemplary, Terence, Punam, Shubham and Bultler Ganesh and entire team (so many names that I cannot remember) make the trip a worthwhile experience.",5,Jul 2017
1220,Manoj0406,"Taj Lands End is located at one of the most beautiful location in Mumbai at Bandra Seashore. Everything about the hotel is glorious- the location, rooms, staff, food, hospitality, services, etc. Our room had the view of the sea-link and the swimming pool. One feels like justing lie around and enjoy the view. The most courteous staff makes us feel like a King. I was celebrating my 60th Birthday on 4th June,2017. There could not have been any better way to celebrate.",5,Jul 2017
